timestamp,open,high,low,close,volume
2026-09-03T14:00:00Z,342.78,343.115,341.02,341.2,1.33715e+06
2026-09-03T15:00:00Z,343.02,343.11,342.65,342.69,20190
2026-09-03T16:00:00Z,342.55,342.8,340.8,341.78,717761
2026-09-03T17:00:00Z,342.27,342.43,342.24,342.411,8882
2026-09-03T18:00:00Z,342.81,342.89,342.76,342.89,2657
2026-09-03T19:00:00Z,343.09,343.15,343.005,343.085,6687
2026-09-04T14:00:00Z,341.49,341.97,338.02,338.26,783377
2026-09-04T15:00:00Z,337.73,338.32,337.13,338.19,794258
2026-09-04T16:00:00Z,338.21,338.87,337.76,338.55,778162
2026-09-04T17:00:00Z,338.514,338.957,338.2,338.56,610265
2026-09-04T18:00:00Z,338.56,339.24,337.75,339.17,786706
2026-09-04T19:00:00Z,339.17,339.6,338.11,338.5,1.8643e+06
2026-09-08T14:00:00Z,334.5,334.56,334.41,334.455,12435
2026-09-08T15:00:00Z,338.4,338.42,338.135,338.19,19560
2026-09-08T16:00:00Z,338.49,338.76,338.12,338.63,133998
2026-09-08T17:00:00Z,338.67,339.665,338.502,339.26,672057
2026-09-08T18:00:00Z,338.77,338.84,337.26,337.79,770190
2026-09-08T19:00:00Z,337.785,338.645,337,338.43,1.65314e+06
2026-09-09T14:00:00Z,330.5,331.235,329.5,329.66,670018
2026-09-09T15:00:00Z,329.68,330.17,327.985,329.78,1.56966e+06
2026-09-09T16:00:00Z,329.555,330.25,329,330.13,962028
2026-09-09T17:00:00Z,330.11,331.71,330.11,330.64,1.09372e+06
2026-09-09T18:00:00Z,330.37,330.525,330.37,330.51,5200
2026-09-09T19:00:00Z,330.34,331.56,330.12,330.66,2.10552e+06
