timestamp,open,high,low,close,volume
2026-07-27T16:00:00Z,483,496.28,478.72,495.07,5.76471e+06
2026-07-28T16:00:00Z,463.71,466.676,452.61,454.85,5.84494e+06
2026-07-29T16:00:00Z,428.34,453.229,424.032,429.57,7.55384e+06
2026-07-30T16:00:00Z,482.6,491.96,481.74,485.33,5.37642e+06
2026-07-31T16:00:00Z,487.645,493.1,475.76,476.24,4.78008e+06
2026-08-03T16:00:00Z,479.945,490.946,479.31,484.46,4.16008e+06
2026-08-04T16:00:00Z,522.46,530.13,518.6,519.788,7.8912e+06
2026-08-05T16:00:00Z,483.75,491.74,480.44,481.72,7.01122e+06
2026-08-06T16:00:00Z,490.579,496.72,485.548,489.29,4.21415e+06
2026-08-07T16:00:00Z,483.373,485.34,476.06,483.5,4.55816e+06
2026-08-10T16:00:00Z,478.34,478.894,469.32,469.52,3.02147e+06
2026-08-11T16:00:00Z,468.18,475.98,465.1,474.4,3.35645e+06
2026-08-12T16:00:00Z,486.95,489.89,481,482.79,2.96803e+06
2026-08-13T16:00:00Z,491.8,495.64,482.07,482.87,2.96733e+06
2026-08-14T16:00:00Z,497.585,513.38,497.5,513.02,4.4664e+06
2026-08-17T16:00:00Z,513.915,513.915,504.52,506,3.24957e+06
2026-08-18T16:00:00Z,480.2,485.24,475.475,484.68,2.97467e+06
2026-08-19T16:00:00Z,467.57,469.45,463.411,466.81,2.96618e+06
2026-08-20T16:00:00Z,463.99,469.77,461.13,469.54,2.76514e+06
2026-08-21T16:00:00Z,469.04,474.04,468.08,473.21,2.34574e+06
2026-08-24T16:00:00Z,460.72,461.67,455.29,456.68,2.44218e+06
2026-08-25T16:00:00Z,477.46,481.5,475.88,479.25,3.29869e+06
2026-08-26T16:00:00Z,483.425,484.35,478.91,481.01,2.4041e+06
2026-08-27T16:00:00Z,474.21,477.07,469.697,477,2.71887e+06
2026-08-28T16:00:00Z,467.645,473.45,465.29,465.6,2.57071e+06
2026-08-31T16:00:00Z,465.91,471.8,465.19,469.95,1.96872e+06
2026-09-01T16:00:00Z,460.06,460.5,453.788,459.75,2.6312e+06
2026-09-02T16:00:00Z,458.92,459.45,455.5,456.3,1.85965e+06
2026-09-03T16:00:00Z,457.2,459.77,454.53,456.24,2.35846e+06
2026-09-04T16:00:00Z,470.73,478.83,470.56,477.45,3.57559e+06
2026-09-08T16:00:00Z,509.473,512.275,503.17,505.53,3.88617e+06
2026-09-09T16:00:00Z,525.51,525.739,518.65,521.08,3.44533e+06
2026-09-10T16:00:00Z,508.31,508.42,502.92,503.47,2.93483e+06
